# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  15900    4.41e+00  4.28e+00    4.56e-02  4.72e-02    1.39e-01  1.35e-01    1.0e-03
  16000    9.28e+00  9.99e+00    1.84e-02  1.54e-02    2.93e-01  3.16e-01    1.0e-03
  16100    7.98e+00  7.46e+00    7.32e-02  5.80e-02    2.52e-01  2.36e-01    1.0e-03
  16200    4.47e+00  4.03e+00    9.30e-02  1.17e-01    1.41e-01  1.27e-01    1.0e-03
  16300    9.38e+00  8.25e+00    2.01e-02  3.00e-02    2.96e-01  2.61e-01    1.0e-03
  16400    4.32e+00  4.01e+00    5.80e-02  4.90e-02    1.36e-01  1.27e-01    1.0e-03
  16500    1.22e+01  1.24e+01    5.55e-02  5.28e-02    3.87e-01  3.91e-01    1.0e-03
  16600    4.54e+00  4.18e+00    2.81e-02  8.38e-03    1.44e-01  1.32e-01    1.0e-03
  16700    8.98e+00  6.48e+00    1.08e-02  2.29e-03    2.84e-01  2.05e-01    1.0e-03
  16800    8.05e+00  8.18e+00    2.70e-02  1.28e-02    2.55e-01  2.59e-01    1.0e-03
  16900    4.21e+00  3.29e+00    1.57e-01  1.21e-01    1.33e-01  1.04e-01    1.0e-03
  17000    7.01e+00  7.03e+00    8.53e-02  8.58e-02    2.22e-01  2.22e-01    1.0e-03
  17100    4.78e+00  4.42e+00    2.22e-01  2.23e-01    1.50e-01  1.39e-01    1.0e-03
  17200    6.88e+00  7.22e+00    4.21e-02  3.40e-02    2.18e-01  2.28e-01    1.0e-03
  17300    1.51e+01  1.02e+01    9.01e-02  7.87e-02    4.76e-01  3.24e-01    1.0e-03
  17400    8.56e+00  8.47e+00    2.96e-02  1.70e-02    2.71e-01  2.68e-01    1.0e-03
  17500    5.99e+00  5.85e+00    3.50e-02  3.75e-02    1.90e-01  1.85e-01    1.0e-03
  17600    7.46e+00  6.96e+00    6.81e-02  9.16e-02    2.36e-01  2.20e-01    1.0e-03
  17700    9.49e+00  9.49e+00    2.14e-02  2.03e-02    3.00e-01  3.00e-01    1.0e-03
  17800    8.76e+00  8.74e+00    9.18e-02  9.37e-02    2.77e-01  2.76e-01    1.0e-03
  17900    4.32e+00  7.85e+00    1.86e-02  3.69e-02    1.37e-01  2.48e-01    1.0e-03
  18000    6.44e+00  6.76e+00    1.10e-02  1.24e-02    2.04e-01  2.14e-01    1.0e-03
  18100    6.74e+00  6.51e+00    3.25e-02  2.83e-02    2.13e-01  2.06e-01    1.0e-03
  18200    7.29e+00  7.34e+00    1.43e-01  1.44e-01    2.30e-01  2.32e-01    1.0e-03
  18300    6.51e+00  6.34e+00    4.06e-02  4.12e-02    2.06e-01  2.01e-01    1.0e-03
  18400    7.55e+00  7.57e+00    5.86e-02  6.86e-02    2.39e-01  2.39e-01    1.0e-03
  18500    4.29e+00  4.32e+00    4.91e-02  4.15e-02    1.36e-01  1.37e-01    1.0e-03
  18600    7.72e+00  7.44e+00    1.43e-02  6.76e-03    2.44e-01  2.35e-01    1.0e-03
  18700    7.50e+00  6.98e+00    1.84e-02  2.65e-02    2.37e-01  2.21e-01    1.0e-03
  18800    6.21e+00  5.81e+00    8.52e-03  7.86e-03    1.96e-01  1.84e-01    1.0e-03
  18900    6.66e+00  6.66e+00    6.12e-02  5.63e-02    2.11e-01  2.11e-01    1.0e-03
  19000    7.86e+00  7.72e+00    3.94e-02  3.47e-02    2.49e-01  2.44e-01    1.0e-03
  19100    6.67e+00  6.18e+00    1.40e-02  1.39e-02    2.11e-01  1.96e-01    1.0e-03
  19200    6.93e+00  7.73e+00    3.12e-02  2.63e-02    2.19e-01  2.45e-01    1.0e-03
  19300    4.49e+00  4.52e+00    5.88e-02  7.57e-02    1.42e-01  1.43e-01    1.0e-03
  19400    9.65e+00  9.80e+00    4.70e-02  6.53e-02    3.05e-01  3.10e-01    1.0e-03
  19500    1.02e+01  1.01e+01    2.12e-01  2.10e-01    3.21e-01  3.18e-01    1.0e-03
  19600    9.86e+00  8.90e+00    8.77e-02  8.89e-02    3.12e-01  2.81e-01    1.0e-03
  19700    7.93e+00  7.52e+00    1.08e-01  1.10e-01    2.51e-01  2.38e-01    1.0e-03
  19800    1.41e+01  1.27e+01    9.31e-03  9.96e-03    4.46e-01  4.01e-01    1.0e-03
  19900    8.48e+00  3.27e+00    5.22e-02  6.95e-02    2.68e-01  1.03e-01    1.0e-03
  20000    6.91e+00  6.29e+00    1.53e-02  6.28e-03    2.24e-01  2.04e-01    9.5e-04
  20100    7.35e+00  7.12e+00    5.25e-02  6.39e-02    2.38e-01  2.31e-01    9.5e-04
  20200    6.06e+00  5.92e+00    2.26e-02  1.98e-02    1.96e-01  1.92e-01    9.5e-04
  20300    4.09e+00  3.87e+00    6.64e-02  6.60e-02    1.32e-01  1.25e-01    9.5e-04
  20400    6.32e+00  5.64e+00    4.70e-02  4.71e-02    2.05e-01  1.83e-01    9.5e-04
  20500    6.66e+00  6.44e+00    1.02e-02  8.70e-03    2.16e-01  2.09e-01    9.5e-04
  20600    5.93e+00  5.55e+00    5.41e-02  5.18e-02    1.92e-01  1.80e-01    9.5e-04
  20700    1.04e+01  8.06e+00    1.22e+00  1.24e+00    3.25e-01  2.44e-01    9.5e-04
  20800    6.69e+00  6.63e+00    3.54e-02  3.19e-02    2.17e-01  2.15e-01    9.5e-04
  20900    6.86e+00  7.20e+00    1.13e-02  1.29e-02    2.23e-01  2.34e-01    9.5e-04
  21000    6.40e+00  6.72e+00    2.41e-02  2.39e-02    2.08e-01  2.18e-01    9.5e-04
  21100    4.03e+00  4.01e+00    8.18e-02  7.85e-02    1.30e-01  1.30e-01    9.5e-04
  21200    7.37e+00  6.50e+00    4.84e-02  4.67e-02    2.39e-01  2.11e-01    9.5e-04
  21300    3.73e+00  3.77e+00    1.88e-02  2.06e-02    1.21e-01  1.22e-01    9.5e-04
  21400    7.41e+00  6.97e+00    4.95e-02  5.33e-02    2.40e-01  2.26e-01    9.5e-04
  21500    7.75e+00  8.21e+00    2.22e-02  2.42e-02    2.51e-01  2.66e-01    9.5e-04
  21600    6.95e+00  7.15e+00    3.26e-02  2.21e-02    2.26e-01  2.32e-01    9.5e-04
  21700    7.33e+00  6.60e+00    1.62e-02  2.04e-02    2.38e-01  2.14e-01    9.5e-04
  21800    6.83e+00  7.27e+00    6.63e-02  8.52e-02    2.22e-01  2.36e-01    9.5e-04
  21900    6.26e+00  5.66e+00    3.92e-02  4.29e-02    2.03e-01  1.84e-01    9.5e-04
  22000    7.69e+00  7.20e+00    3.30e-02  4.45e-02    2.49e-01  2.34e-01    9.5e-04
  22100    3.89e+00  3.92e+00    7.68e-02  7.71e-02    1.26e-01  1.27e-01    9.5e-04
  22200    4.41e+00  3.67e+00    1.57e-02  4.12e-03    1.43e-01  1.19e-01    9.5e-04
  22300    6.76e+00  6.62e+00    2.86e-02  2.66e-02    2.19e-01  2.15e-01    9.5e-04
  22400    7.03e+00  6.83e+00    1.77e-02  1.02e-02    2.28e-01  2.22e-01    9.5e-04
  22500    9.00e+00  7.40e+00    5.16e-02  5.44e-02    2.92e-01  2.40e-01    9.5e-04
  22600    6.48e+00  6.41e+00    8.88e-03  7.13e-03    2.10e-01  2.08e-01    9.5e-04
  22700    4.28e+00  4.96e+00    1.02e-01  1.17e-01    1.38e-01  1.60e-01    9.5e-04
  22800    7.11e+00  7.58e+00    5.99e-02  6.13e-02    2.30e-01  2.46e-01    9.5e-04
  22900    6.68e+00  6.39e+00    3.14e-02  2.89e-02    2.17e-01  2.07e-01    9.5e-04
  23000    6.00e+00  6.47e+00    6.62e-03  1.48e-02    1.95e-01  2.10e-01    9.5e-04
  23100    3.28e+00  3.23e+00    2.54e-02  2.35e-02    1.06e-01  1.05e-01    9.5e-04
  23200    6.70e+00  7.93e+00    3.87e-02  5.19e-02    2.17e-01  2.57e-01    9.5e-04
  23300    7.88e+00  8.10e+00    5.21e-02  4.94e-02    2.56e-01  2.63e-01    9.5e-04
  23400    4.67e+00  5.03e+00    2.02e-01  2.03e-01    1.51e-01  1.62e-01    9.5e-04
  23500    3.90e+00  2.91e+00    5.04e-02  5.86e-02    1.27e-01  9.41e-02    9.5e-04
  23600    7.16e+00  7.58e+00    1.01e-01  9.79e-02    2.32e-01  2.46e-01    9.5e-04
  23700    6.40e+00  6.04e+00    1.70e-02  1.52e-02    2.08e-01  1.96e-01    9.5e-04
  23800    6.38e+00  6.33e+00    1.17e-02  1.55e-02    2.07e-01  2.05e-01    9.5e-04
  23900    5.04e+00  5.26e+00    3.83e-03  4.87e-03    1.64e-01  1.71e-01    9.5e-04
  24000    1.05e+01  1.02e+01    8.04e-02  6.80e-02    3.41e-01  3.32e-01    9.5e-04
  24100    5.84e+00  6.03e+00    1.09e-01  1.19e-01    1.89e-01  1.95e-01    9.5e-04
  24200    6.22e+00  6.24e+00    5.88e-02  5.53e-02    2.02e-01  2.02e-01    9.5e-04
  24300    7.19e+00  6.76e+00    4.22e-02  4.24e-02    2.33e-01  2.19e-01    9.5e-04
  24400    6.09e+00  6.00e+00    1.97e-02  2.27e-02    1.98e-01  1.95e-01    9.5e-04
  24500    5.68e+00  6.12e+00    2.93e-02  2.11e-02    1.84e-01  1.99e-01    9.5e-04
  24600    6.47e+00  6.63e+00    1.28e-02  2.28e-02    2.10e-01  2.15e-01    9.5e-04
  24700    6.20e+00  5.90e+00    3.56e-02  3.74e-02    2.01e-01  1.91e-01    9.5e-04
  24800    7.14e+00  7.70e+00    1.81e-02  2.17e-02    2.32e-01  2.50e-01    9.5e-04
  24900    6.82e+00  6.45e+00    5.67e-03  1.54e-03    2.21e-01  2.09e-01    9.5e-04
  25000    3.86e+00  3.68e+00    9.96e-02  9.47e-02    1.25e-01  1.19e-01    9.5e-04
  25100    6.76e+00  7.89e+00    1.56e-02  2.55e-02    2.19e-01  2.56e-01    9.5e-04
  25200    6.11e+00  5.92e+00    6.45e-03  5.78e-03    1.98e-01  1.92e-01    9.5e-04
  25300    6.68e+00  7.15e+00    5.87e-02  6.39e-02    2.16e-01  2.32e-01    9.5e-04
  25400    6.18e+00  2.66e+00    3.37e-02  3.68e-02    2.00e-01  8.62e-02    9.5e-04
  25500    6.91e+00  7.24e+00    6.31e-03  1.78e-02    2.24e-01  2.35e-01    9.5e-04
  25600    5.80e+00  5.68e+00    3.79e-03  6.62e-04    1.88e-01  1.84e-01    9.5e-04
  25700    5.44e+00  5.53e+00    4.93e-02  4.43e-02    1.76e-01  1.79e-01    9.5e-04
  25800    3.11e+00  3.03e+00    9.22e-02  9.25e-02    1.01e-01  9.81e-02    9.5e-04
  25900    5.97e+00  5.45e+00    7.14e-02  7.87e-02    1.94e-01  1.77e-01    9.5e-04
